Date,Authors,Dispatch Locations,City,State,Country,URL,,
1/4/2023,Kimberly Mattheussens,Rome & Vienna,Rome / Vienna,,Italy / Austria,/etude-no-2-and-etude-no-3/,,
12/21/22,S. G. Moradi,Iran,,,Iran,/the-way-back-home/,,
12/07/22,Mauricio Ruiz,"Yalta, Ukraine",Yalta,,Ukraine,/looking-for-anton-chekhov/,,
11/9/22,Mona Kareem,"Farwaniya, Kuwait",Farwaniya,n/a,Kuwait,/room-of-darkness/,,
10/26/22,Sophie Durbin,"Tokyo, Japan",Tokyo,n/a,Japan,/inconvenience-store,,
10/12,Nicelle C Davis,Los Angeles,Los Angeles,California,USA,/ars-ours-a-question,,
9/28,"Wong Koi Tet, Shanna Tan",Dakota Crescent,n/a,n/a,Singapore,/the-longkaus-name,,
9/14,Rose McLarney,Pine Mountain Valley,n/a,Georgia,USA,/between-states/,,
08/31,Lisa Rosenberg,"Ilia, Greece",n/a,Ilia,Greece,/coast-of-ilia/,,
8/17,Erica Ehrenberg,"Stockbridge, MA",Stockbridge,Massachusetts,USA,/on-tenterhooks/,,
8/3,Jess Richards,"Wellington, New Zealand",Wellington,n/a,New Zealand,/churched/,,
7/6,Susanna Lang,"Quebec, Canada",Quebec,n/a,Canada,/dispatches-from-mes-forets-my-forests,,
6/22/22,Irina Hrinoschi,"Bucharest, Romania",Bucharest,,Romania,/modest-for-a-dictator/,,
6/8,Carolyn Kuebler,"Ashfield, MA",Ashfield,Massachusetts,USA,/a-road-the-sun/,,
5/25,Alejandra Pizarnik,"Mexico City, Mexico",Mexico City,,Mexico,two-poems-by-alejandra-pizarnik,,
4/20/22,Heather E. Goodman,Douglassville,Douglassville,Pennsylvania,USA,/ugly-trees,,
4/6/2022,Hannah T Jansen,Brooklyn,New York,New York,USA,/after-darkness-a-neighbor-turns-the-lights-on,,
3/9/22,Krista J. H. Leahy,"Arapahoe County, Colorado",Arapahoe County,Colorado,USA,/they-say-you-are-everywhere/,,
2/23/22,Tim Tim Cheng,Hong Kong,Hong Kong,n/a,China,/how-memory-works/,,
2/9/22,Natalia Magnani,Gomel,Gomel,,Belarus,/In-Absence-of-mourning/,,
1/26/22,Stella Wong,Iowa City/New York City,Iowa City/New York City,Iowa/New York,USA,/dispatches-stella-wong,,
12/29/21,William Kelley Woolfitt,"St. Paul, Minnesota",St. Paul,MI,United States ,/r-is-for-revival-field/,,
12/15/21,Carolyn R Oliver,"Motor Speedway, NH",Loudon,NH,United States ,/magic-mile/,,
10/20/21,Akwe Amosu,"New York City, NY",New York City,NY,United States ,/delete-recover/,,
10/06/21,Katherine L. L Hester,"Madrid, Spain",Madrid,,Spain,/plenty,,
09/22/21,"Cristina Burack, Gunther Geltinger","Rugen, Germany",,,Germany,/untitled-letter-to-rugen/,,
9/8/21,Sarah R Giragosian,Congress Avenue Bridge,Austin,Texas,United States ,/bat-season-in-austin,,
08/25/21,Laura E Laing,Wythe County,,VA,United States ,/open-season,,
08/11/21,Olive Amdur,FDR Drive,New York City,NY,United States ,/traffic-on-the-FDR/,,
07/28/21,Sarah Dunphy-Lelii,Austin,Austin,Texas,United States ,/histories/,,
07/14/21,Moriel Rothman-Zecher,Southwest Ohio,,OH,United States ,/a-salamander/,,
6/30/21,Kaori Fujimoto,Shinjuku,Tokyo,,Japan,/shinjuku-golden-gai-and-the-midnight-diner/,,
6/2/21,John Kinsella,"Avon Valley, Western Australia",,,Australia,/anticipating-zebra-finches,,
5/5/21,Ariel Chu,"Taipei, Taiwan",Taipei,,Taiwan,/how-living-looks/,,
4/14/21,Emma C Aylor,"Murrells Inlet, South Carolina",,South Carolina,United States ,/night-of-a-thousand-candles,,
3/31/21,Patricia J Liu,"Yunnan Province, China",Yunnan Province ,,China,/joss/,,
3/17/2021,Siew David Hii,"Grand Bay, Alabama",,Alabama,United States ,/sams-super-burger,,
3/3/21,James Alan A. Gill,"Tonapah Desert, Arizona",,Arizona,United States ,/ephemeral-address,,
2/17/2021,Sara Elkamel,"Wadi Rum, Jordan",Wadi Rum (desert/preserve),,Jordan,/the-language-of-the-body/,,
1/19/2021,Mauricio Ruiz,"Rhodes, Greece",,,Greece,/postcard-from-rhodes,,
1/6/21,Adam Dalva,"Cihu Memorial Sculpture Park, Taiwan",Taoyuan City,,Taiwan,/cihu,,
12/09/20,Darien H Gee,"Kamuela, Island of Hawaiʻi",Kamuela,Hawaiʻi,USA,/providence-2/,,
11/4/20,Vasyl Lozynsky,"Hudson, NY",Hudson,New York,USA,/on-halloween,,
10/21/20,Erica Plouffe Lazure,"Lomba Das Barracas, Furnas, São Miguel Island, Azores, Portugal",Furnas,Azores (?),Portugal ,/bread-n-roses/,,
10/07/20,Jennifer Perrine,Central Pennsylvania,,Pennsylvania,USA,/dive,,
09/23/20,Emily Cataneo,"Białystok, Poland",Białystok,,Poland,/dr-hope/,,
09/09/20,Natalie Bakopoulos,"Athens, Greece",Athens,,Greece,/balconies-anachronisms-lamentations/,,
08/26/20,Jannett Matusiak,Colorado,Denver,Colorado,USA,/oplatek/,,
08/12/20,Aurora L Shimshak,Vernon County,,Wisconsin,USA,/ice-cave-late-march,,
7/29/20,Lisa Williamson Rosenberg,The Upper West Side,Manhattan,New York,USA,/statue,,
07/15/20,Moriel Rothman-Zecher,Israel-Palestine,,,Israel-Palestine,/goddamn,,
07/01/20,Clancy McKenna,"Broad Channel, Queens, NY",Queens,New York,USA,/home-below-sea-level,,
06/17/20,Vaughn M. M Watson,"Washington, DC",Washington,(DC),USA,/ruckus/,,
06/03/20,Krista J. H. Leahy,"Rocky Mountain National Park, Colorado",Rocky Mountains,Colorado,USA,/trill/,,
5/20/20,Melissa Matthewson,"Applegate, Oregon",Applegate,Oregon,USA,/on-empathy-time-re-wildness/,,
5/6,Maria Terrone,"Jackson Heights, Queens",Queens,New York,USA,/a-walk-inside-the-epicenter/,,
4/22/20,Liesl Swogger,"Amherst, MA",Amherst,MA,USA,/perfectly-spaced/,,
4/9/20,Tiara Dinevska-McGuire,"Resen, Macedonia",Resen,,Macedonia,/dispatches-from-macedonia,,
3/25/20,Karen Kao,The road to Amsterdam,Amsterdam,,Netherlands,/going-home/,,
3/11/20,Cindy E Carlson,"Chesapeake Bay, Virginia",Buckroe Beach,Virginia,USA,/a-sliver-of-wild/,,
2/25/2020,Nilufar Karimi,"Tehran, Iran",Tehran,,Iran,/public-survey/,,
1/29/20,Gregory Ariail,"Whiteside Mountain, NC",Whiteside Mountain,North Carolina,USA,/a-geology-of-memory-whiteside-mountain-north-carolina/,,
1/15/2020,Ashley Stimpson,"Brinkley, Arkansas",Brinkley,Arkansas,USA,/a-delta-hereafter/,,
1/1/2020,Dipika Mukherjee,Itaparica/ Brazil,Itaparica,,Brazil,/saudade/,,
12/18/19,Jonathsn Fink,"Miami, FL",Miami,Florida,USA,/following-my-daughters-fitting-for-a-prosthetic-eye/,,
11/20/19,Susan E Harlan,"Fries, VA",Fries,Virginia,USA,/a-cabin-and-a-dog/,,
11/06/2019,James Alan A. Gill,"Phoenix, AZ",Phoenix,Arizona,USA,/dry/,,
10/23/2019,Mauricio Ruiz,"Tbilisi, Georgia",Tbilisi,,Georgia,/the-streets-of-tbilisi/,,
10/9/19,Grace Segran,"Cambridge, MA, Paris, France",Cambridge,Massachusetts,USA,/four-minutes-at-rodneys/,,
9/25/19,Ellie Bozmarova,"Sofia, Bulgaria",Sofia ,,Bulgaria,/a-secret-story/,,
9/11/19,Alfredo Aguilar,Friendship Park (San Diego–Tijuana border),San Diego,California,United States,/from-corrido/,,
08/28/19,Griffin Lessell,"West Palm, Florida",West Palm,Florida,United States,/leaving-florida/,,
08/14/19,Sofia Belimova,"Amherst, MA",Amherst ,MA,USA,/the-amherst-bulletin-excerpts/,,
7/31/19,Charmaine Wilkerson,"Westmoreland, Jamaica",Westmoreland,,Jamaica,/island-lessons/,,
,Rita Ciresi,,,,,/Rubrica/,,
7/3/2019,Jane Wong,"Venice, Italy",Venice,,Italy,/offerings/,,
6/19/19,Siobhan Leddy,"Matawan, New Jersey",Matawan,New Jersey,United States ,/repeater/,,
6/5/19,MaryAlice Hostetter,"Ludlow, Shropshire UK",Ludlow,,United Kingdom,/elegy-to-the-farm-where-i-grew-up/,,
5/22/19,Melissa Mesku,"Lancaster County, Pennsylvania",Lancaster County,Pennsylvania,United States,/paradise-after-the-fire/,,
5/8/19,Susan E Harlan,"Paradise, California",Paradise,California,United States,/january-in-the-jardin-de-luxembourg/,,
4/24/19,Kabl Wilkerson,"Paris, France",Paris,,France,/a-ceremony-for-yellow-house/,,
04/10/19,KC Trommer,"High Plains, West Texas",High Plains,West Texas,United States,/dispatches-from-queens/,,
3/27/19,James Alan A. Gill,Queens,New York City,New York,United States,/the-stables/,,
3/13/2019,Blessing Nwodo,"Galatia, Illinois ",Galatia,Illinois ,United States,/the-capital-of-gods-own-state/,,
02/27/19,Kasia van Schaik,"Umuahia, Abia state, Nigeria",Umuahia,Abia state,Nigeria,/stingray/,,
02/13/19,Kristina Faust,"Little Bay, New Zealand",Little Bay,,New Zealand,/the-camera-obscura-at-castelo-sao-jorge/,,
01/30/19,Linda E Keyes,"Lisbon, Portugal",Lisbon,,Portugal,/cirque-of-dreams/,,
12/19/18,Susan E Harlan,"Queens, NYC",New York City,New York,United States,/holiday-in-queens/,,
12/12/18,Mojgan Ghazirad,"Kashan, Iran",Kashan,,Iran,/a-cave-for-mithra/,,
12/05/18,Igor Barreto,"Los Llanos, Venezuela",Los Llanos,,Venezuela,/nature-of-exile-and-mary/,,
11/21/2018,Susan Comninos,Mountains of Mourne,County Down,Northern Ireland,United Kingdom,/rustic-impression/,,
11/7/2018,Shane Cashman,"Highland Falls, NY",Highland Falls,New York,United States,/the-first-day-of-fall/,,
10/24/2018,Joanna Brichetto,"Davidson County, Tennessee",NA,Tennessee,United States,/it-was-a-yellow-billed-cuckoo/,,
10/10/2018,Leath R Tonino,"Colorado Springs, Colorado",Colorado Springs,Colorado,United States,/hot-potato/,,
09/19/2018,Susan E Harlan,Great Smoky Mountains National Park,NA,North Carolina/Tennsssee,United States,/the-little-river/,,
09/05/2018,Sean Singer,"New York City, New York",New York City,New York,United States,/four-poems-from-new-york-city/,,
08/22/2018,Isabel Y Meyers,"São Paulo, Brazil",São Paulo,,Brazil,/the-old-apartment/,,
08/08/2018,Hannah Gersen,"The Bronx, NYC",New York City,New York,United States,/on-zoos/,,
07/04/18,M Schultz,"Church of the Holy Sepulcher, Jerusalem, Israel",Jerusalem,,Israel,/dream-ladders/,,
06/20/18,Cate Lycurgus,"Tolowa Dunes State Park, California",,California,United States,/non-native/,,
06/13/2018,Gregory Curtis,"Paris, France",Paris,,France,/paris-april-7-2018-Saturday/,,
06/06/18,Maria Terrone,"Queens, NYC",New York City,New York,United States,/the-cloak-room/,,
5/23/18,Sean P Gill,Deutsches Historisches Museum,Berlin,,Germany,/the-globe/,,
5/9/18,Marcia L DeSanctis,High Atlas Mountains,Imlil,,Morocco,/take-me-with-you/,,
04/25/18,Honor McElroy,"Philadelphia, Pennsylvania",Philadelphia,Pennsylvania,United States,/scratching-beneath-divinity/,,
4/11/18,Angela Cannon-Crothers,"Finger Lakes Region, New York",NY,NY,United States,/trespassers-minutiae/,,
3/28/18,Leath R Tonino,"Sawatch Range, Colorado",,,United States,/riding-with-wolfman/,,
3/14/18,Amanda Gomez,"San Luis de la Paz, Mexico",San Luis de la Paz,,Mexico,/me-matas-te-mato/,,
2/28/18,Annabel Q Barry,"County Donegal, Ireland",,,Ireland,/irelands-forgotten-borderlands/,,
2/14/18,Amanda A Gibson,"Lothian, Maryland",Lothian,Maryland,United States,/winterscape/,,
1/24/18,Andrew M Johnson,"Charlottesville, Virginia",Charlottesville,Virginia,United States,/charlottesville-a-nightmare-tableau/,,
1/10/18,Jared Smith,Jared Smith,,,Argentina,/acid-raindrops/,,
